"Search Criteria:"

"Initial View: County"
"Well Type: Both"
"County Name: HOWARD"
"Date Range: Jan 2020 - Mar 2026"

"Field Name","Field No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"RED DRAW (FUSSELMAN)",75201300,3825,20560,493,0
"SAND SPRINGS (FUSSELMAN)",80537500,11003,61995,0,0
"SARA-MAG (CANYON REEF)",81021250,58464,19230,0,0
"SARA-MAG, NORTH (CANYON REEF)",81023500,0,0,0,0
"SEWELL 30 (CANYON REEF)",82457100,0,0,0,0
"SIDCO (STRAWN)",83483600,300,0,0,0
"SIGNAL PEAK (WOLFCAMP)",83518500,224874,2499683,512073,3870
"SILVER QUEEN (PENN-CANYON)",83628270,0,0,0,0
"SLEEPER REEF (CANYON)",84028200,0,0,0,0
SNYDER,84469001,811506,0,0,0
"SNYDER (CLEARFORK)",84469150,5466,0,0,0
"SNYDER (SAN ANDRES)",84469500,377,0,0,0
"SPRABERRY (TREND AREA)",85280300,692121345,1993421011,617697,4050
"SPRABERRY (TREND AREA) R 40 EXC",85280301,5520063,10875046,0,0
"SPRABERRY (TREND AREA STRAWN)",85280900,4978,15529,0,0
"STOLHAN (SPRABERRY)",86282750,0,0,0,0
"TALBOT (CANYON)",88200075,0,0,0,0
"TALBOT (CLEARFORK)",88200078,10647,390,0,0
"TWINS (WOLFCAMP)",92064485,0,0,0,0
"VAN GOGH, N. (ELLENBURGER)",93076200,0,0,0,0
"VAN GRIS (WOLFCAMP)",93077500,0,0,0,0
"VAREL (SAN ANDRES)",93233333,54342,0,0,0
"VAREL, WEST (FUSSELMAN)",93240500,4645,0,0,0
VEALMOOR,93308001,66,0,0,0
"VEALMOOR, CENTRAL (CANYON REEF)",93309500,165,0,0,0
"VEALMOOR, EAST",93310001,132835,160964,0,0
"VINCENT (CLEAR FORK,LOWER)",93852750,0,0,0,0
"VINCENT, N. (PENNSYLVANIAN REEF)",93854500,30851,15098,0,0
"VINCENT, S. (STRAWN)",93857500,6265,6757,0,0
"VINCENT, SW. (WOLFCAMP)",93859475,0,0,0,0
"VINCENT, WEST (PENN.)",93860500,16806,8622,0,0
"WILDHORSE (CISCO REEF)",97369075,6918,3373,0,0
"WILDHORSE (UPPER CANYON)",97369500,0,0,0,0
"WOULD HAVE (CLEARFORK)",98899075,0,0,0,0
ZEBULON,99733500,54554,0,0,0
"ZEBULON, NORTH (FUSSELMAN)",99735200,80957,0,0,0
"ZEBULON, SOUTH (FUSSELMAN)",99736200,37990,0,0,0
Total,,711870244,2010562197,1511573,12475
